t,x,y
0,-1.0124,0.495925
0.05,-0.958984,0.500234
0.1,-0.93651,0.495321
0.15,-0.934631,0.514186
0.2,-0.917362,0.491209
0.25,-0.874994,0.517185
0.3,-0.849514,0.499472
0.35,-0.827175,0.52741
0.4,-0.79304,0.517783
0.45,-0.767083,0.528046
0.5,-0.738002,0.527293
0.55,-0.727587,0.551553
0.6,-0.695286,0.568037
0.65,-0.659136,0.57618
0.7,-0.635415,0.582723
0.75,-0.58432,0.615882
0.8,-0.586034,0.625862
0.85,-0.548973,0.623735
0.9,-0.51535,0.648197
0.95,-0.476995,0.64267
1,-0.428708,0.688613
1.05,-0.395676,0.690345
1.1,-0.380926,0.695009
1.15,-0.332306,0.703668
1.2,-0.32384,0.709193
1.25,-0.273264,0.715487
1.3,-0.235746,0.716372
1.35,-0.214834,0.724585
1.4,-0.160661,0.701184
1.45,-0.129856,0.702283
1.5,-0.0916351,0.71482
1.55,-0.0262446,0.731689
1.6,-0.028952,0.697541
1.65,0.018854,0.695945
1.7,0.0386831,0.689156
1.75,0.0935397,0.697316
1.8,0.108406,0.674234
1.85,0.138001,0.648268
1.9,0.185303,0.630111
1.95,0.204136,0.633956
2,0.246293,0.60632
2.05,0.285502,0.602393
2.1,0.296552,0.57155
2.15,0.341495,0.560667
2.2,0.362036,0.531457
2.25,0.386939,0.500315
2.3,0.398657,0.485945
2.35,0.445394,0.45649
2.4,0.449537,0.439734
2.45,0.475905,0.425442
2.5,0.499364,0.3762
2.55,0.510748,0.382873
2.6,0.547515,0.354192
2.65,0.565029,0.327408
2.7,0.562293,0.318489
2.75,0.576957,0.263642
2.8,0.609606,0.277693
2.85,0.612262,0.243184
2.9,0.623296,0.22083
2.95,0.64343,0.197839
3,0.646062,0.199155
3.05,0.657385,0.161075
3.1,0.674438,0.129024
3.15,0.663534,0.114168
3.2,0.668095,0.0923992
3.25,0.683806,0.0948677
3.3,0.685815,0.056603
3.35,0.671048,0.0270207
3.4,0.673157,0.0335721
3.45,0.693398,0.0103478
3.5,0.688546,-0.0275205
3.55,0.699724,-0.0167645
3.6,0.695674,-0.0399661
3.65,0.677273,-0.0599566
3.7,0.692498,-0.070945
3.75,0.690655,-0.0886686
3.8,0.671362,-0.11762
3.85,0.655168,-0.113088
3.9,0.652421,-0.15464
3.95,0.640695,-0.189772
4,0.637327,-0.198448
4.05,0.622992,-0.217366
4.1,0.608383,-0.2081
4.15,0.617915,-0.252924
4.2,0.584693,-0.251528
4.25,0.58239,-0.274155
4.3,0.554348,-0.283254
4.35,0.542992,-0.330969
4.4,0.52767,-0.318266
4.45,0.522704,-0.326531
4.5,0.488479,-0.34256
4.55,0.478017,-0.36309
4.6,0.482062,-0.381192
4.65,0.454584,-0.38407
4.7,0.428115,-0.405527
4.75,0.378456,-0.428231
4.8,0.39,-0.44134
4.85,0.362945,-0.453729
4.9,0.330384,-0.461863
4.95,0.318808,-0.463462
