t,x,y
0,-1,0.5
0.05,-0.975104,0.496236
0.1,-0.950338,0.494798
0.15,-0.925589,0.495479
0.2,-0.900758,0.49809
0.25,-0.875751,0.502452
0.3,-0.850486,0.508396
0.35,-0.824888,0.515761
0.4,-0.798889,0.524389
0.45,-0.77243,0.534124
0.5,-0.745461,0.544811
0.55,-0.717936,0.556296
0.6,-0.68982,0.568422
0.65,-0.661086,0.581031
0.7,-0.631712,0.593964
0.75,-0.601687,0.60706
0.8,-0.571006,0.620155
0.85,-0.539674,0.633085
0.9,-0.507703,0.645688
0.95,-0.475113,0.657801
1,-0.441934,0.669266
1.05,-0.4082,0.679928
1.1,-0.373957,0.689638
1.15,-0.339254,0.698256
1.2,-0.304151,0.705652
1.25,-0.268712,0.711707
1.3,-0.233005,0.716316
1.35,-0.197106,0.719389
1.4,-0.161093,0.720851
1.45,-0.125048,0.720647
1.5,-0.0890566,0.718738
1.55,-0.0532034,0.715104
1.6,-0.017575,0.709744
1.65,0.0177425,0.702674
1.7,0.0526645,0.693931
1.75,0.0871085,0.683564
1.8,0.120995,0.671639
1.85,0.154248,0.658237
1.9,0.186795,0.643449
1.95,0.218571,0.627375
2,0.249513,0.610126
2.05,0.279566,0.591814
2.1,0.308679,0.572557
2.15,0.336808,0.552476
2.2,0.363915,0.531687
2.25,0.389967,0.510308
2.3,0.414938,0.488451
2.35,0.438806,0.466224
2.4,0.461556,0.443728
2.45,0.483176,0.421057
2.5,0.50366,0.398297
2.55,0.523005,0.375526
2.6,0.541213,0.352814
2.65,0.558289,0.33022
2.7,0.574238,0.307797
2.75,0.589072,0.285589
2.8,0.602801,0.26363
2.85,0.61544,0.241948
2.9,0.627001,0.220563
2.95,0.637501,0.199489
3,0.646955,0.178733
3.05,0.65538,0.158297
3.1,0.66279,0.138178
3.15,0.669203,0.118367
3.2,0.674632,0.0988549
3.25,0.679093,0.0796263
3.3,0.682599,0.0606647
3.35,0.685164,0.0419518
3.4,0.686798,0.0234675
3.45,0.687514,0.00519135
3.5,0.68732,-0.0128976
3.55,0.686227,-0.0308199
3.6,0.684241,-0.0485954
3.65,0.681369,-0.0662429
3.7,0.677618,-0.0837793
3.75,0.672993,-0.10122
3.8,0.667498,-0.118577
3.85,0.661137,-0.13586
3.9,0.653913,-0.153076
3.95,0.64583,-0.170229
4,0.636891,-0.187317
4.05,0.6271,-0.204335
4.1,0.616459,-0.221275
4.15,0.604974,-0.238123
4.2,0.592648,-0.254862
4.25,0.57949,-0.271467
4.3,0.565504,-0.287912
4.35,0.550702,-0.304163
4.4,0.535092,-0.320184
4.45,0.518688,-0.335933
4.5,0.501504,-0.351363
4.55,0.483558,-0.366426
4.6,0.464868,-0.381065
4.65,0.445459,-0.395226
4.7,0.425355,-0.408847
4.75,0.404584,-0.421868
4.8,0.383179,-0.434224
4.85,0.361174,-0.445854
4.9,0.338607,-0.456692
4.95,0.315519,-0.466678
