t,x,y
0,-0.123974,0.459253
0.05,0.186066,0.534381
0.1,0.187701,0.492869
0.15,-0.0168048,0.6668
0.2,-0.0686668,0.401928
0.25,0.128238,0.60803
0.3,0.153151,0.360413
0.35,0.142737,0.554163
0.4,0.245671,0.358754
0.45,0.261558,0.350353
0.5,0.302871,0.221524
0.55,0.151227,0.334153
0.6,0.211772,0.361988
0.65,0.30381,0.30102
0.7,0.264347,0.220327
0.75,0.491246,0.403719
0.8,0.182639,0.354964
0.85,0.254371,0.186459
0.9,0.284442,0.286847
0.95,0.354722,0.0920341
1,0.517497,0.418236
1.05,0.521257,0.310231
1.1,0.33615,0.240979
1.15,0.48422,0.22255
1.2,0.225803,0.184988
1.25,0.38417,0.168528
1.3,0.408355,0.112491
1.35,0.263604,0.145165
1.4,0.449403,-0.122115
1.45,0.400274,-0.12762
1.5,0.424903,-0.00155693
1.55,0.721699,0.185209
1.6,0.338857,-0.120762
1.65,0.463356,-0.0839434
1.7,0.311151,-0.0821178
1.75,0.51312,0.0856362
1.8,0.31989,-0.0432213
1.85,0.279424,-0.185908
1.9,0.422235,-0.23638
1.95,0.287247,-0.053703
2,0.393013,-0.173785
2.05,0.477389,-0.0458252
2.1,0.288785,-0.177251
2.15,0.44819,-0.100471
2.2,0.373042,-0.199498
2.25,0.351329,-0.311531
2.3,0.207869,-0.250621
2.35,0.42494,-0.336394
2.4,0.226598,-0.291987
2.45,0.261159,-0.220651
2.5,0.277385,-0.497372
2.55,0.183665,-0.214248
2.6,0.354595,-0.284612
2.65,0.343806,-0.336528
2.7,0.141299,-0.210824
2.75,0.123493,-0.545819
2.8,0.296172,-0.193573
2.85,0.179462,-0.328925
2.9,0.156964,-0.344886
2.95,0.235783,-0.369496
3,0.149791,-0.153371
3.05,0.160804,-0.333529
3.1,0.23909,-0.455689
3.15,0.0476662,-0.408093
3.2,0.0206453,-0.431707
3.25,0.11478,-0.21488
3.3,0.0814602,-0.407156
3.35,-0.110146,-0.514195
3.4,-0.123584,-0.261297
3.45,0.0536293,-0.307361
3.5,-0.010793,-0.500879
3.55,0.0943143,-0.208982
3.6,0.0563352,-0.257315
3.65,-0.115974,-0.274031
3.7,0.0571296,-0.201079
3.75,0.0686775,-0.195715
3.8,-0.0851406,-0.302778
3.85,-0.198848,-0.0750856
3.9,-0.168969,-0.308284
3.95,-0.219765,-0.477353
4,-0.17787,-0.381978
4.05,-0.236551,-0.389217
4.1,-0.288875,-0.114943
4.15,-0.0907255,-0.382086
4.2,-0.311068,-0.187749
4.25,-0.213233,-0.234639
4.3,-0.363853,-0.147566
4.35,-0.338747,-0.448329
4.4,-0.344529,-0.14699
4.45,-0.238106,-0.0578794
4.5,-0.415752,-0.0494354
4.55,-0.347416,-0.0895845
4.6,-0.125851,-0.109586
4.65,-0.211591,0.0179131
4.7,-0.279551,-0.0457436
4.75,-0.572017,-0.127886
4.8,-0.245373,-0.120756
4.85,-0.297985,-0.11375
4.9,-0.399312,-0.0721903
4.95,-0.284857,0.0260858
