t,x,y
0,0,0.5
0.05,0.0248651,0.494404
0.1,0.0494209,0.487638
0.15,0.0736099,0.479734
0.2,0.0973761,0.470737
0.25,0.120666,0.460691
0.3,0.143429,0.44965
0.35,0.165615,0.43767
0.4,0.187181,0.42481
0.45,0.208083,0.411132
0.5,0.228282,0.396701
0.55,0.247741,0.381581
0.6,0.266429,0.365837
0.65,0.284316,0.349534
0.7,0.301374,0.332734
0.75,0.317582,0.315499
0.8,0.332918,0.297888
0.85,0.347365,0.279958
0.9,0.360909,0.261761
0.95,0.373538,0.243349
1,0.385242,0.224768
1.05,0.396013,0.206061
1.1,0.405846,0.187269
1.15,0.414739,0.168427
1.2,0.422689,0.149571
1.25,0.429696,0.130729
1.3,0.435762,0.111929
1.35,0.44089,0.0931963
1.4,0.445083,0.0745534
1.45,0.448347,0.0560205
1.5,0.450688,0.0376167
1.55,0.452111,0.0193594
1.6,0.452626,0.00126514
1.65,0.452241,-0.0166503
1.7,0.450964,-0.0343715
1.75,0.448807,-0.051883
1.8,0.44578,-0.069169
1.85,0.441894,-0.0862135
1.9,0.437163,-0.102999
1.95,0.431599,-0.119509
2,0.425217,-0.135723
2.05,0.418032,-0.151621
2.1,0.41006,-0.167181
2.15,0.40132,-0.18238
2.2,0.391829,-0.197193
2.25,0.381607,-0.211594
2.3,0.370677,-0.225556
2.35,0.35906,-0.239048
2.4,0.34678,-0.252041
2.45,0.333864,-0.264504
2.5,0.320339,-0.276405
2.55,0.306234,-0.287712
2.6,0.291578,-0.298392
2.65,0.276406,-0.308412
2.7,0.260749,-0.317742
2.75,0.244643,-0.32635
2.8,0.228126,-0.334206
2.85,0.211236,-0.341282
2.9,0.194012,-0.347553
2.95,0.176494,-0.352994
3,0.158726,-0.357586
3.05,0.14075,-0.36131
3.1,0.12261,-0.364152
3.15,0.10435,-0.366101
3.2,0.086015,-0.367149
3.25,0.0676501,-0.367295
3.3,0.0493005,-0.366539
3.35,0.0310112,-0.364885
3.4,0.0128268,-0.362343
3.45,-0.00520848,-0.358925
3.5,-0.0230514,-0.35465
3.55,-0.0406595,-0.349536
3.6,-0.0579914,-0.343608
3.65,-0.0750072,-0.336894
3.7,-0.0916681,-0.329422
3.75,-0.107937,-0.321227
3.8,-0.123779,-0.312342
3.85,-0.139161,-0.302804
3.9,-0.154049,-0.292652
3.95,-0.168416,-0.281925
4,-0.182233,-0.270663
4.05,-0.195474,-0.258907
4.1,-0.208116,-0.246698
4.15,-0.220137,-0.234076
4.2,-0.231518,-0.221083
4.25,-0.24224,-0.207757
4.3,-0.252288,-0.194138
4.35,-0.26165,-0.180264
4.4,-0.270311,-0.166171
4.45,-0.278264,-0.151896
4.5,-0.285498,-0.137473
4.55,-0.292009,-0.122935
4.6,-0.29779,-0.108314
4.65,-0.302839,-0.0936402
4.7,-0.307154,-0.0789439
4.75,-0.310734,-0.064253
4.8,-0.31358,-0.0495947
4.85,-0.315694,-0.0349952
4.9,-0.317081,-0.02048
4.95,-0.317744,-0.00607355
